Question;Answer;DocumentList
I retook the project report, and I noticed that you assigned a grade for it. However, on the student portal, Project 1.1 is still listed as a failed course. Could you please verify if everything is in order?;I’m waiting for all examiners to submit the results of the repair assignments. Then I will process everything simultaneously.;.
I am reaching out to inquire about the process concerning my academic credits, as I received a notification from the school indicating that my credit is lower than expected for the first semester. I have already contacted the school via email to explain my situation, and their response mentioned that I should consider any changes in credits on the student portal as an indication that the email has not been sent. Could you please provide me with an update on the current status of the process?;I’m sorry but I cannot help you with this. I refer to the student advisors, in CC.;.
I think there was a misunderstanding. I mailed you to get information about when you will be able to update my Project 1.1 grade? We talked about this previously and you mentioned that since I wasn’t be able to attend the project report examination, you gave me that point but after, I attended the repair assignment of it. Can you inform me about the progress please?;Once the exam office has changed the grade, the BSA committee will not send a new letter. They will check all credits again when they send the new round of letters and it will be taken into account by then.;.
when do I get the results for Project1-1 makeup assignment? , if u know any estimation date;I submitted the grades this morning. I expect they will be available soon.;.
The project 1-1 grades have been given and I got an NG and I have honestly no idea why. Could you help me knowing what happened?;According to my records, you were not present during the Final Presentation and the Product & Report Examination in Phase 3. Not being present during the Product & Report Examination leads to an NG for the project, as per R&R. (Not being present during the Final Presentation leads to a zero on the Presentation component in the Phase 3 grade.);43, 44
I understand but I had a verry good reason for not coming to the presentation, I was unable to leave Belgium because of sickness and my doctor provided me a paper. I had been said, after scanning and sending the paper to the boe, that I could do my best to be present for at least one of the two presentations but if it was impossible then it was ok since I had a justification.;As coordinator, I can only take note of attendance and inform you of the consequences. I don’t know who told you this information, but the rules and regulations for the projects, which you ought to know if you participated in the Skill Class: Introduction to Project Work, are clear. I copy Article 5.6.3 below. “As indicated in paragraph 1, for each project there are a number of on-campus assessment moments that may include, but are not limited to: the presentation first phase, the presentation second phase, the final presentation and the product and report examination (if applicable). Failure to participate in either the presentation first phase or presentation second phase has the consequence that the student concerned cannot be graded for that particular phase and the grade for that phase will count as 0. Failure to participate in the final project presentation means that the student cannot be graded for the presentation and the grade for the rubrics concerning the presentation will count as 0. If a student does not participate in the product and report examination (if applicable), or misses in total two or more of the aforementioned assessment moments, there is insufficient bases for assessing the individual contribution of the student, with the consequence that an NG is awarded for the overall project of the student involved.” If you think you have a valid reason for missing both the final presentation and/or the product and report examination, you can contact the BoE. Please do not waste the BoE’s time and make a clear case. The BoE will then decide if your claim is valid. Only then can we decide how to move on.;41, 42, 43, 44, 45
In the documentation about project 1-1s grading I have found the formula for the final grade really confusing. 0.9 x( project grade or Individual grade) + skill class grade. I wanted to ask whether both the project grade and individual grades are used or is it chose individually for a group.;The default computation is 0.9*ProjectGrade + SkillClassGrade. The examiners can however motivate an individual grade. In that case the computation becomes: 0.9*IndividualGrade + SkillClassGrade. The motivation can be that a student has had an exceptionally positive or negative contribution to the project.;35, 36, 48, 49
Since this morning 3:30AM, I had a terrible pain in my stomach and after a while I started to vomit repeatedly. I went to my GP and they said they they can not do anything about it and they can not give report for universities in Netherlands(They can just give it for Belgium Schools). So, since this morning I am resting in the home and taking some painkillers. That's why I couldn't attend to the report meeting today. I attended all the skill classes and all the meetings except one so I take the Project so seriously. I wish you will understand my situation and I won't loose anything because of the illness I have; The rules and regulations are quite clear on this matter. Article 5.6.3 states that “If a student does not participate in the product and report examination (if applicable), or misses in total two or more of the aforementioned assessment moments, there is insufficient bases for assessing the individual contribution of the student, with the consequence that an NG is awarded for the overall project of the student involved.” This means that if you were not present during the P&R, then you will receive an NG.;44
Tragically, I missed the final product and report examination this morning due to believing it was at 1pm instead of 11am. I do not have a good explanation for this as I remember checking the schedule several times and was confident that it would be at 1pm and by the time I realised, it was already 10:55. After rereading the rules and regulations I can not find what would happen in this case;The rules and regulations are quite clear on this matter. Article 5.6.3 states that “If a student does not participate in the product and report examination (if applicable), or misses in total two or more of the aforementioned assessment moments, there is insufficient bases for assessing the individual contribution of the student, with the consequence that an NG is awarded for the overall project of the student involved.” So you will be awarded an NG for the project.;44
I have missed the first and second project meetings due to the delay caused by the storm. I informed my group mates of this issue when I got word my flight was cancelled and made sure to contact them first. As a result of the storm, I missed meetings on the 9th and the 11th. I was given an update on the code from my group members, as well as told what tasks I am able to complete while I was away. If need be, I can provide proof of correspondence. Attached are the letters from the airline detailing the cancellation of my flight. I was supposed to have arrived on the 9th before class, and due to the tropical storm, ended up having a cancelled flight and missing the meeting. I ended up arriving early morning Thursday, due to having to take a longer route.;The Board of Examiners has reviewed your situation and I can inform you with their decision: Not being present at the concerned meetings does not qualify for force majeure as the first meeting was scheduled before the flight originally was supposed to leave.;6, 11, 31, 33
